Feature,Importance Mean,Importance Std,Lead Group
III_strip_q75,0.0,0.0,I
III_strip_q95,0.0,0.0,I
III_beat_st_slope,0.0,0.0,I
V6_beat_qrs_range,0.0,0.0,V6
V6_beat_t_max,0.0,0.0,V6
fs,0.0,0.0,cross-lead / global
aVR_beat_pre_mean,0.0,0.0,aVR
I_strip_energy,0.0,0.0,I
I_strip_kurtosis,0.0,0.0,I
V5_beat_energy,0.0,0.0,V5
n_samples,0.0,0.0,cross-lead / global
III_strip_std,-2.5707957601645016e-05,0.00011205838923039889,I
III_beat_t_mean,-4.385019272501456e-05,0.00013370847461687351,I
II_beat_st_max,-7.955065781465597e-05,0.0029365478042951503,I
V2_strip_ptp,-9.540537596123554e-05,0.003255076042809094,V2
corr_II_V1,-0.00018814620011702864,0.0025007265170848983,cross-lead / global
aVF_strip_q95,-0.000192751991943374,0.00029976586452196385,aVF
V2_strip_min,-0.0001994458353201223,0.005765815672559705,V2
I_beat_s_min,-0.00020314679783117184,0.0014221364007737083,I
III_beat_t_max,-0.00021540405699314868,0.003807860758975122,I
II_strip_median,-0.000274430545846982,0.0025344274487225345,I
V5_strip_rms,-0.00032656023222065177,0.00010885341074021725,V5
aVL_strip_kurtosis,-0.0003741496598639399,0.00033843110105666834,aVL
aVR_strip_q75,-0.0004022217593332822,0.002747708811651751,aVR
V2_beat_t_mean,-0.00042859033796731615,0.015436020603086024,V2
V6_beat_t_mean,-0.00047951089784913634,0.00278637293226874,V6
I_strip_ptp,-0.000504835309085705,0.0002763912695725741,I
V3_strip_min,-0.0005102040816326453,0.00029456646387225355,V3
aVR_beat_qrs_range,-0.0005208827717133296,0.00041947078396628476,aVR
V4_beat_q_min,-0.0005373482912651272,0.002175718506218639,V4
V5_strip_max,-0.0005927993633376649,0.0004348792416774706,V5
aVL_strip_mean,-0.0006035617206713556,0.0036822716294837203,aVL
V5_strip_median,-0.0007099383896851774,0.001882444287271422,V5
V3_strip_zero_cross,-0.0007265811478779999,0.0017552471285624054,V3
II_beat_pre_mean,-0.0007572651364525451,0.0004821006086404279,I
V6_strip_q95,-0.0007908194084913639,0.001703305103864404,V6
V6_strip_q25,-0.0008249276916243691,0.001715983753765066,V6
III_strip_ptp,-0.0008406112160445567,0.005940421375952072,I
V1_beat_area,-0.0008583012400056849,0.009150209916433432,V1
V3_beat_energy,-0.0008618098402151442,0.0004463343821996906,V3
